"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2017","1.0200","1.0100","1.0300","1.0100","781.49K","0.99%"
"09/07/2017","1.0100","1.0200","1.0200","1.0100","638.66K","-0.98%"
"09/06/2017","1.0200","1.0200","1.0400","1.0200","774.82K","0.00%"
"09/05/2017","1.0200","1.0400","1.0500","1.0100","1.33M","-1.92%"
"09/04/2017","1.0400","1.0200","1.0500","1.0100","900.37K","1.96%"
"09/03/2017","1.0200","1.0200","1.0500","1.0100","609.39K","0.00%"
"09/02/2017","1.0200","1.0100","1.0500","1.0000","443.86K","0.99%"
"09/01/2017","1.0100","1.0000","1.0700","1.0000","450.60K","1.00%"
"08/31/2017","1.0000","1.0000","1.0100","1.0000","280.34K","0.00%"
"08/30/2017","1.0000","1.0100","1.0100","1.0000","215.58K","-0.99%"
"08/29/2017","1.0100","1.0000","1.0200","1.0000","484.44K","1.00%"
"08/28/2017","1.0000","1.0000","1.0000","1.0000","396.39K","0.00%"
"08/27/2017","1.0000","1.0100","1.0100","1.0000","215.74K","-0.99%"
"08/26/2017","1.0100","1.0100","1.0100","1.0100","118.21K","0.00%"
"08/25/2017","1.0100","1.0100","1.0100","1.0000","254.25K","0.00%"
"08/24/2017","1.0100","1.0100","1.0100","1.0100","199.40K","0.00%"
"08/23/2017","1.0100","1.0100","1.0400","1.0100","318.87K","0.00%"
